miRNA_ID	Patient1
hsa-let-7a-1	14.94792411
hsa-let-7a-2	14.94017728
hsa-let-7a-3	14.94783406
hsa-let-7b	15.86948276
hsa-let-7c	11.00382722
hsa-let-7d	9.317854599
hsa-let-7e	10.67909214
hsa-let-7f-1	13.37346011
hsa-let-7f-2	13.39855707
hsa-let-7g	9.850279606
hsa-let-7i	8.954656105
hsa-mir-1-1	1.571793774
hsa-mir-1-2	1.571793774
hsa-mir-100	11.92791692
hsa-mir-101-1	13.29538171
hsa-mir-101-2	13.29894434
hsa-mir-103a-1	13.33811312
hsa-mir-103a-2	13.34009058
hsa-mir-103b-1	0
hsa-mir-103b-2	0
hsa-mir-105-1	0
hsa-mir-105-2	0
hsa-mir-106a	2.946229479
hsa-mir-106b	9.154662781
hsa-mir-107	6.525765949
hsa-mir-10a	14.19720639
hsa-mir-10b	10.95476978
hsa-mir-1178	0
hsa-mir-1179	0
hsa-mir-1180	4.198503976
hsa-mir-1181	0.479797592
hsa-mir-1182	0
hsa-mir-1183	0
hsa-mir-1184-1	0
hsa-mir-1184-2	0
hsa-mir-1184-3	0
hsa-mir-1185-1	0
hsa-mir-1185-2	0
hsa-mir-1193	0
hsa-mir-1197	0
hsa-mir-1199	0
hsa-mir-1200	0
hsa-mir-1202	0
hsa-mir-1203	0
hsa-mir-1204	0
hsa-mir-1205	0
hsa-mir-1206	0
hsa-mir-1207	0
hsa-mir-1208	0
hsa-mir-122	0
hsa-mir-1224	0.839231609
hsa-mir-1225	0
hsa-mir-1226	1.126738333
hsa-mir-1227	0.479797592
hsa-mir-1228	0
hsa-mir-1229	0
hsa-mir-1231	0
hsa-mir-1233-1	0
hsa-mir-1233-2	0
hsa-mir-1234	0
hsa-mir-1236	0
hsa-mir-1237	0
hsa-mir-1238	0
hsa-mir-124-1	0
hsa-mir-124-2	0
hsa-mir-124-3	0
hsa-mir-1243	0
hsa-mir-1244-1	0
hsa-mir-1244-2	0
hsa-mir-1244-3	0
hsa-mir-1244-4	0
hsa-mir-1245a	0.479797592
hsa-mir-1245b	0
hsa-mir-1246	0
hsa-mir-1247	2.416848117
hsa-mir-1248	1.571793774
hsa-mir-1249	1.366360266
hsa-mir-1250	0
hsa-mir-1251	0
hsa-mir-1252	0
hsa-mir-1253	0
hsa-mir-1254-1	0
hsa-mir-1254-2	0
hsa-mir-1255a	0
hsa-mir-1255b-1	0
hsa-mir-1255b-2	0
hsa-mir-1256	0
hsa-mir-1257	0
hsa-mir-1258	0
hsa-mir-125a	9.154662781
hsa-mir-125b-1	6.748569082
hsa-mir-125b-2	6.918179643
hsa-mir-126	9.015313882
hsa-mir-1260a	0
hsa-mir-1260b	0
hsa-mir-1261	0
hsa-mir-1262	1.571793774
hsa-mir-1263	0
hsa-mir-1264	0
hsa-mir-1265	0
hsa-mir-1266	3.33265223
hsa-mir-1267	0
hsa-mir-1268a	0
hsa-mir-1268b	0
hsa-mir-1269a	12.11559497
hsa-mir-1269b	0.839231609
hsa-mir-127	7.695915575
hsa-mir-1270	0.839231609
hsa-mir-1271	0.479797592
hsa-mir-1272	0
hsa-mir-1273a	0
hsa-mir-1273c	0
hsa-mir-1273d	0
hsa-mir-1273e	0
hsa-mir-1273f	0
hsa-mir-1273g	0
hsa-mir-1273h	0
hsa-mir-1275	0
hsa-mir-1276	0
hsa-mir-1277	0.479797592
hsa-mir-1278	0
hsa-mir-1279	0
hsa-mir-128-1	5.686561623
hsa-mir-128-2	4.818841973
hsa-mir-1281	0
hsa-mir-1282	0
hsa-mir-1283-1	0
hsa-mir-1283-2	0
hsa-mir-1284	0
hsa-mir-1285-1	0
hsa-mir-1285-2	0
hsa-mir-1286	0
hsa-mir-1287	5.393451279
hsa-mir-1288	0
hsa-mir-1289-1	0
hsa-mir-1289-2	0
hsa-mir-129-1	2.416848117
hsa-mir-129-2	2.055329642
hsa-mir-1290	0
hsa-mir-1291	0
hsa-mir-1292	0.839231609
hsa-mir-1293	0
hsa-mir-1294	0.479797592
hsa-mir-1295a	0
hsa-mir-1295b	0
hsa-mir-1296	1.751587975
hsa-mir-1297	0
hsa-mir-1298	0
hsa-mir-1299	0
hsa-mir-1301	2.055329642
hsa-mir-1302-1	0
hsa-mir-1302-10	0
hsa-mir-1302-11	0
hsa-mir-1302-2	0
hsa-mir-1302-3	0
hsa-mir-1302-4	0
hsa-mir-1302-5	0
hsa-mir-1302-6	0
hsa-mir-1302-7	0
hsa-mir-1302-8	0
hsa-mir-1302-9	0
hsa-mir-1303	0
hsa-mir-1304	1.366360266
hsa-mir-1305	0
hsa-mir-1306	2.705685132
hsa-mir-1307	9.14665076
hsa-mir-130a	5.236224375
hsa-mir-130b	4.989809641
hsa-mir-132	6.029262288
hsa-mir-1321	0
hsa-mir-1322	0
hsa-mir-1323	0
hsa-mir-1324	0
hsa-mir-133a-1	0
hsa-mir-133a-2	0.479797592
hsa-mir-133b	0
hsa-mir-134	5.901776687
hsa-mir-1343	0
hsa-mir-135a-1	0
hsa-mir-135a-2	0
hsa-mir-135b	6.562363712
hsa-mir-136	1.911437722
hsa-mir-137	0.839231609
hsa-mir-138-1	0
hsa-mir-138-2	0
hsa-mir-139	3.018254758
hsa-mir-140	9.503398844
hsa-mir-141	10.83430183
hsa-mir-142	8.917469225
hsa-mir-143	16.14514443
hsa-mir-144	5.29539919
hsa-mir-145	7.736516801
hsa-mir-1468	2.946229479
hsa-mir-1469	0
hsa-mir-146a	8.147187495
hsa-mir-146b	11.54673824
hsa-mir-1470	0
hsa-mir-1471	0
hsa-mir-147a	0
hsa-mir-147b	0.479797592
hsa-mir-148a	16.43157101
hsa-mir-148b	6.950754382
hsa-mir-149	1.751587975
hsa-mir-150	8.363101749
hsa-mir-151a	12.07698747
hsa-mir-151b	1.366360266
hsa-mir-152	7.374354293
hsa-mir-153-1	0.839231609
hsa-mir-153-2	2.055329642
hsa-mir-1537	0
hsa-mir-1538	0
hsa-mir-1539	0
hsa-mir-154	0.479797592
hsa-mir-155	7.992624279
hsa-mir-1587	0
hsa-mir-15a	6.880027862
hsa-mir-15b	7.881152098
hsa-mir-16-1	7.662591306
hsa-mir-16-2	7.628479049
hsa-mir-17	10.14838987
hsa-mir-181a-1	12.83097745
hsa-mir-181a-2	12.94876318
hsa-mir-181b-1	10.33490728
hsa-mir-181b-2	10.29151178
hsa-mir-181c	5.433515906
hsa-mir-181d	3.682174254
hsa-mir-182	15.730904
hsa-mir-1825	0
hsa-mir-1827	0
hsa-mir-183	14.36704878
hsa-mir-184	0
hsa-mir-185	6.002876344
hsa-mir-186	8.014801786
hsa-mir-187	2.055329642
hsa-mir-188	2.055329642
hsa-mir-18a	3.086854744
hsa-mir-18b	1.126738333
hsa-mir-1908	0
hsa-mir-1909	0
hsa-mir-190a	1.366360266
hsa-mir-190b	0
hsa-mir-191	7.871461977
hsa-mir-1910	0
hsa-mir-1911	0
hsa-mir-1912	0
hsa-mir-1913	0
hsa-mir-1914	0
hsa-mir-1915	0
hsa-mir-192	8.356170156
hsa-mir-193a	7.336115129
hsa-mir-193b	3.33265223
hsa-mir-194-1	6.598055985
hsa-mir-194-2	6.865456754
hsa-mir-195	5.61867595
hsa-mir-196a-1	4.504630307
hsa-mir-196a-2	4.52949015
hsa-mir-196b	1.911437722
hsa-mir-197	6.991583668
hsa-mir-1972-1	0
hsa-mir-1972-2	0
hsa-mir-1973	0
hsa-mir-1976	3.725849873
hsa-mir-198	0
hsa-mir-199a-1	8.789532132
hsa-mir-199a-2	9.43761112
hsa-mir-199b	9.784677915
hsa-mir-19a	3.888420828
hsa-mir-19b-1	6.105642588
hsa-mir-19b-2	6.178181598
hsa-mir-200a	9.689309514
hsa-mir-200b	10.06688723
hsa-mir-200c	14.58754456
hsa-mir-202	0
hsa-mir-203a	13.3554876
hsa-mir-203b	6.130229753
hsa-mir-204	0.839231609
hsa-mir-205	2.790401726
hsa-mir-2052	0
hsa-mir-2053	0
hsa-mir-2054	0
hsa-mir-206	0
hsa-mir-208a	0
hsa-mir-208b	0
hsa-mir-20a	8.388802591
hsa-mir-20b	1.366360266
hsa-mir-21	17.31318085
hsa-mir-210	6.341510871
hsa-mir-211	0
hsa-mir-2110	1.911437722
hsa-mir-2113	0
hsa-mir-2114	0
hsa-mir-2115	0.479797592
hsa-mir-2116	0.479797592
hsa-mir-2117	0
hsa-mir-212	2.946229479
hsa-mir-214	3.152340176
hsa-mir-215	2.790401726
hsa-mir-216a	3.590644173
hsa-mir-216b	2.615681834
hsa-mir-217	8.045288471
hsa-mir-218-1	4.624855216
hsa-mir-218-2	4.198503976
hsa-mir-219a-1	2.519687576
hsa-mir-219a-2	0
hsa-mir-219b	0
hsa-mir-22	15.36115713
hsa-mir-221	7.799191845
hsa-mir-222	5.882608791
hsa-mir-223	6.936883742
hsa-mir-224	3.809424117
hsa-mir-2276	0
hsa-mir-2277	0.479797592
hsa-mir-2278	0
hsa-mir-2355	4.034513575
hsa-mir-2392	0
hsa-mir-23a	11.11091003
hsa-mir-23b	9.942828724
hsa-mir-23c	0
hsa-mir-24-1	9.53135991
hsa-mir-24-2	9.558789347
hsa-mir-2467	0
hsa-mir-25	13.97064395
hsa-mir-2681	0
hsa-mir-2682	0
hsa-mir-26a-1	11.10161484
hsa-mir-26a-2	11.10239173
hsa-mir-26b	9.155661161
hsa-mir-27a	9.750062563
hsa-mir-27b	10.54683994
hsa-mir-28	11.75507698
hsa-mir-2861	0
hsa-mir-2909	0
hsa-mir-296	3.018254758
hsa-mir-297	0
hsa-mir-298	0
hsa-mir-299	1.126738333
hsa-mir-29a	12.97911202
hsa-mir-29b-1	6.727237667
hsa-mir-29b-2	6.922878448
hsa-mir-29c	11.78054118
hsa-mir-300	0
hsa-mir-301a	1.751587975
hsa-mir-301b	0
hsa-mir-302a	0
hsa-mir-302b	0
hsa-mir-302c	0
hsa-mir-302d	0
hsa-mir-302e	0
hsa-mir-302f	0
hsa-mir-3064	0
hsa-mir-3065	7.195626336
hsa-mir-3074	3.152340176
hsa-mir-30a	14.37810468
hsa-mir-30b	9.232426916
hsa-mir-30c-1	7.388011928
hsa-mir-30c-2	7.74450171
hsa-mir-30d	14.92994717
hsa-mir-30e	14.09337541
hsa-mir-31	0
hsa-mir-3115	0
hsa-mir-3116-1	0
hsa-mir-3116-2	0
hsa-mir-3117	0
hsa-mir-3118-1	0
hsa-mir-3118-2	0
hsa-mir-3118-3	0
hsa-mir-3118-4	0
hsa-mir-3119-1	0
hsa-mir-3119-2	0
hsa-mir-3120	0
hsa-mir-3121	0
hsa-mir-3122	0
hsa-mir-3123	0
hsa-mir-3124	0
hsa-mir-3125	0
hsa-mir-3126	0
hsa-mir-3127	2.306111429
hsa-mir-3128	0
hsa-mir-3129	0
hsa-mir-3130-1	3.086854744
hsa-mir-3130-2	2.870418579
hsa-mir-3131	0.479797592
hsa-mir-3132	0
hsa-mir-3133	0
hsa-mir-3134	0
hsa-mir-3135a	0
hsa-mir-3135b	0
hsa-mir-3136	0
hsa-mir-3137	0
hsa-mir-3138	0
hsa-mir-3139	0
hsa-mir-3140	0
hsa-mir-3141	0
hsa-mir-3142	0
hsa-mir-3143	0
hsa-mir-3144	0
hsa-mir-3145	0
hsa-mir-3146	0
hsa-mir-3147	0
hsa-mir-3148	0
hsa-mir-3149	0
hsa-mir-3150a	0
hsa-mir-3150b	0
hsa-mir-3151	0
hsa-mir-3152	0
hsa-mir-3153	0
hsa-mir-3154	0
hsa-mir-3155a	0
hsa-mir-3155b	0
hsa-mir-3156-1	0
hsa-mir-3156-2	0
hsa-mir-3156-3	0
hsa-mir-3157	0.479797592
hsa-mir-3158-1	0
hsa-mir-3158-2	0
hsa-mir-3159	0
hsa-mir-3160-1	0
hsa-mir-3160-2	0
hsa-mir-3161	0
hsa-mir-3162	0
hsa-mir-3163	0
hsa-mir-3164	0
hsa-mir-3165	0
hsa-mir-3166	0
hsa-mir-3167	0
hsa-mir-3168	0
hsa-mir-3169	0
hsa-mir-3170	0
hsa-mir-3171	0
hsa-mir-3173	1.126738333
hsa-mir-3174	0
hsa-mir-3175	0
hsa-mir-3176	0
hsa-mir-3177	0
hsa-mir-3178	1.571793774
hsa-mir-3179-1	0
hsa-mir-3179-2	0
hsa-mir-3179-3	0
hsa-mir-3179-4	0
hsa-mir-3180-1	0
hsa-mir-3180-2	0
hsa-mir-3180-3	0
hsa-mir-3180-4	0
hsa-mir-3180-5	0
hsa-mir-3181	0
hsa-mir-3182	0
hsa-mir-3183	0
hsa-mir-3184	0
hsa-mir-3185	0
hsa-mir-3186	0
hsa-mir-3187	0
hsa-mir-3188	0.839231609
hsa-mir-3189	0
hsa-mir-3190	0
hsa-mir-3191	0
hsa-mir-3192	0
hsa-mir-3193	0
hsa-mir-3194	0
hsa-mir-3195	0.479797592
hsa-mir-3196	0
hsa-mir-3197	0.479797592
hsa-mir-3198-1	0
hsa-mir-3198-2	0
hsa-mir-3199-1	0.479797592
hsa-mir-3199-2	1.126738333
hsa-mir-32	5.522887652
hsa-mir-3200	0.479797592
hsa-mir-3201	0
hsa-mir-3202-1	0
hsa-mir-3202-2	0
hsa-mir-320a	7.985903997
hsa-mir-320b-1	0.479797592
hsa-mir-320b-2	0.839231609
hsa-mir-320c-1	1.126738333
hsa-mir-320c-2	0
hsa-mir-320d-1	0.479797592
hsa-mir-320d-2	0.839231609
hsa-mir-320e	0
hsa-mir-323a	0.479797592
hsa-mir-323b	0
hsa-mir-324	4.400672015
hsa-mir-325	0
hsa-mir-326	3.926354164
hsa-mir-328	4.135126694
hsa-mir-329-1	0
hsa-mir-329-2	0
hsa-mir-330	5.751395993
hsa-mir-331	4.229178204
hsa-mir-335	8.715635441
hsa-mir-337	2.615681834
hsa-mir-338	8.387103374
hsa-mir-339	4.167163286
hsa-mir-33a	4.288636885
hsa-mir-33b	0.839231609
hsa-mir-340	4.6702735
hsa-mir-342	5.86318277
hsa-mir-345	2.519687576
hsa-mir-346	0.479797592
hsa-mir-34a	6.269553485
hsa-mir-34b	1.366360266
hsa-mir-34c	4.259213799
hsa-mir-3529	0
hsa-mir-3591	0
hsa-mir-3605	2.055329642
hsa-mir-3606	0
hsa-mir-3607	2.306111429
hsa-mir-3609	0
hsa-mir-361	8.357906178
hsa-mir-3610	0.839231609
hsa-mir-3611	0
hsa-mir-3612	0
hsa-mir-3613	2.186162981
hsa-mir-3614	1.126738333
hsa-mir-3615	2.416848117
hsa-mir-3616	0
hsa-mir-3617	0
hsa-mir-3618	0.479797592
hsa-mir-3619	0.479797592
hsa-mir-362	3.999353798
hsa-mir-3620	0
hsa-mir-3621	0
hsa-mir-3622a	0
hsa-mir-3622b	0
hsa-mir-363	2.416848117
hsa-mir-3646	0
hsa-mir-3648-1	0
hsa-mir-3648-2	0
hsa-mir-3649	0
hsa-mir-3650	0
hsa-mir-3651	0.479797592
hsa-mir-3652	0.479797592
hsa-mir-3653	2.055329642
hsa-mir-3654	0
hsa-mir-3655	0.479797592
hsa-mir-3656	0
hsa-mir-3657	0
hsa-mir-3658	0
hsa-mir-3659	0
hsa-mir-365a	4.102362508
hsa-mir-365b	4.102362508
hsa-mir-3660	0
hsa-mir-3661	0
hsa-mir-3662	0
hsa-mir-3663	0
hsa-mir-3664	0.479797592
hsa-mir-3665	0
hsa-mir-3666	0
hsa-mir-3667	0
hsa-mir-3668	0
hsa-mir-367	0
hsa-mir-3670-1	0
hsa-mir-3670-2	0
hsa-mir-3670-3	0
hsa-mir-3670-4	0
hsa-mir-3671	0
hsa-mir-3672	0
hsa-mir-3674	0
hsa-mir-3675	0
hsa-mir-3677	2.055329642
hsa-mir-3678	1.126738333
hsa-mir-3679	0.479797592
hsa-mir-3680-1	0.479797592
hsa-mir-3680-2	0
hsa-mir-3681	0
hsa-mir-3682	0
hsa-mir-3683	0
hsa-mir-3684	0.479797592
hsa-mir-3685	0
hsa-mir-3686	0
hsa-mir-3687-1	0
hsa-mir-3687-2	0
hsa-mir-3688-1	0
hsa-mir-3688-2	0
hsa-mir-3689a	0
hsa-mir-3689b	0
hsa-mir-3689c	0
hsa-mir-3689d-1	0
hsa-mir-3689d-2	0
hsa-mir-3689e	0
hsa-mir-3689f	0
hsa-mir-369	1.126738333
hsa-mir-3690-1	1.366360266
hsa-mir-3690-2	0
hsa-mir-3691	0
hsa-mir-3692	0
hsa-mir-370	1.366360266
hsa-mir-3713	0
hsa-mir-3714	0
hsa-mir-371a	0
hsa-mir-371b	0
hsa-mir-372	0
hsa-mir-373	0
hsa-mir-374a	9.236207232
hsa-mir-374b	4.288636885
hsa-mir-374c	0
hsa-mir-375	15.91883994
hsa-mir-376a-1	0
hsa-mir-376a-2	0
hsa-mir-376b	0
hsa-mir-376c	1.366360266
hsa-mir-377	0.479797592
hsa-mir-378a	8.405685601
hsa-mir-378b	0
hsa-mir-378c	2.416848117
hsa-mir-378d-1	0
hsa-mir-378d-2	0
hsa-mir-378e	0
hsa-mir-378f	0
hsa-mir-378g	0
hsa-mir-378h	0
hsa-mir-378i	0
hsa-mir-378j	0
hsa-mir-379	8.096097723
hsa-mir-380	0
hsa-mir-381	3.725849873
hsa-mir-382	2.790401726
hsa-mir-383	0
hsa-mir-384	0
hsa-mir-3907	0
hsa-mir-3908	0
hsa-mir-3909	1.571793774
hsa-mir-3910-1	0
hsa-mir-3910-2	0
hsa-mir-3911	0.479797592
hsa-mir-3912	1.126738333
hsa-mir-3913-1	2.306111429
hsa-mir-3913-2	2.416848117
hsa-mir-3914-1	0
hsa-mir-3914-2	0
hsa-mir-3915	0
hsa-mir-3916	0
hsa-mir-3917	1.571793774
hsa-mir-3918	0
hsa-mir-3919	0
hsa-mir-3920	0.479797592
hsa-mir-3921	0
hsa-mir-3922	0.479797592
hsa-mir-3923	0
hsa-mir-3924	0
hsa-mir-3925	0
hsa-mir-3926-1	0.479797592
hsa-mir-3926-2	0
hsa-mir-3927	0
hsa-mir-3928	0.839231609
hsa-mir-3929	0
hsa-mir-3934	3.590644173
hsa-mir-3935	0
hsa-mir-3936	0
hsa-mir-3937	0
hsa-mir-3938	0
hsa-mir-3939	0
hsa-mir-3940	1.571793774
hsa-mir-3941	0.479797592
hsa-mir-3942	0.479797592
hsa-mir-3943	0
hsa-mir-3944	0
hsa-mir-3945	0
hsa-mir-3960	0
hsa-mir-3972	0
hsa-mir-3973	0
hsa-mir-3974	0
hsa-mir-3975	0
hsa-mir-3976	0
hsa-mir-3977	0
hsa-mir-3978	0
hsa-mir-409	2.306111429
hsa-mir-410	3.275016288
hsa-mir-411	1.751587975
hsa-mir-412	0.479797592
hsa-mir-421	2.416848117
hsa-mir-422a	0
hsa-mir-423	6.941522118
hsa-mir-424	4.601598412
hsa-mir-425	5.686561623
hsa-mir-4251	0
hsa-mir-4252	0
hsa-mir-4253	0
hsa-mir-4254	0
hsa-mir-4255	0
hsa-mir-4256	0
hsa-mir-4257	0
hsa-mir-4258	0
hsa-mir-4259	0
hsa-mir-4260	0
hsa-mir-4261	0
hsa-mir-4262	0
hsa-mir-4263	0
hsa-mir-4264	0
hsa-mir-4265	0
hsa-mir-4266	0
hsa-mir-4267	0
hsa-mir-4268	0
hsa-mir-4269	0
hsa-mir-4270	0
hsa-mir-4271	0
hsa-mir-4272	0
hsa-mir-4273	0
hsa-mir-4274	0
hsa-mir-4275	0
hsa-mir-4276	0
hsa-mir-4277	0
hsa-mir-4278	0
hsa-mir-4279	0
hsa-mir-4280	0
hsa-mir-4281	0
hsa-mir-4282	0
hsa-mir-4283-1	0
hsa-mir-4283-2	0
hsa-mir-4284	0
hsa-mir-4285	0
hsa-mir-4286	0
hsa-mir-4287	0
hsa-mir-4288	0
hsa-mir-4289	0
hsa-mir-429	5.843491601
hsa-mir-4290	0
hsa-mir-4291	0
hsa-mir-4292	0
hsa-mir-4293	0
hsa-mir-4294	0
hsa-mir-4295	0
hsa-mir-4296	0
hsa-mir-4297	0
hsa-mir-4298	0
hsa-mir-4299	0
hsa-mir-4300	0
hsa-mir-4301	0
hsa-mir-4302	0
hsa-mir-4303	0
hsa-mir-4304	0
hsa-mir-4305	0
hsa-mir-4306	0
hsa-mir-4307	0
hsa-mir-4308	0
hsa-mir-4309	0
hsa-mir-431	1.911437722
hsa-mir-4310	0
hsa-mir-4311	0
hsa-mir-4312	0
hsa-mir-4313	0
hsa-mir-4314	0
hsa-mir-4315-1	0
hsa-mir-4315-2	0
hsa-mir-4316	0
hsa-mir-4317	0
hsa-mir-4318	0
hsa-mir-4319	0
hsa-mir-432	0.479797592
hsa-mir-4320	0
hsa-mir-4321	0
hsa-mir-4322	0
hsa-mir-4323	0
hsa-mir-4324	0
hsa-mir-4325	0
hsa-mir-4326	0
hsa-mir-4327	0
hsa-mir-4328	0
hsa-mir-4329	0
hsa-mir-433	0.839231609
hsa-mir-4330	0
hsa-mir-4417	0
hsa-mir-4418	0
hsa-mir-4419a	0
hsa-mir-4419b	0
hsa-mir-4420	0
hsa-mir-4421	0
hsa-mir-4422	0
hsa-mir-4423	0
hsa-mir-4424	0
hsa-mir-4425	0
hsa-mir-4426	0
hsa-mir-4427	0
hsa-mir-4428	0
hsa-mir-4429	0
hsa-mir-4430	0
hsa-mir-4431	0
hsa-mir-4432	0
hsa-mir-4433a	0
hsa-mir-4433b	0
hsa-mir-4434	0
hsa-mir-4435-1	0
hsa-mir-4435-2	0.479797592
hsa-mir-4436a	0
hsa-mir-4436b-1	0
hsa-mir-4436b-2	0
hsa-mir-4437	0
hsa-mir-4438	0
hsa-mir-4439	0
hsa-mir-4440	0
hsa-mir-4441	0
hsa-mir-4442	0.479797592
hsa-mir-4443	1.751587975
hsa-mir-4444-1	0.479797592
hsa-mir-4444-2	1.126738333
hsa-mir-4445	0
hsa-mir-4446	0
hsa-mir-4447	0
hsa-mir-4448	0
hsa-mir-4449	1.366360266
hsa-mir-4450	0
hsa-mir-4451	0
hsa-mir-4452	0
hsa-mir-4453	0
hsa-mir-4454	0.479797592
hsa-mir-4455	0
hsa-mir-4456	0
hsa-mir-4457	0
hsa-mir-4458	0
hsa-mir-4459	0
hsa-mir-4460	0
hsa-mir-4461	0.479797592
hsa-mir-4462	0
hsa-mir-4463	0
hsa-mir-4464	0
hsa-mir-4465	0
hsa-mir-4466	0
hsa-mir-4467	0
hsa-mir-4468	0
hsa-mir-4469	0
hsa-mir-4470	0
hsa-mir-4471	0
hsa-mir-4472-1	0
hsa-mir-4472-2	0
hsa-mir-4473	0.479797592
hsa-mir-4474	0
hsa-mir-4475	0
hsa-mir-4476	0
hsa-mir-4477a	0
hsa-mir-4477b	0
hsa-mir-4478	0
hsa-mir-4479	0
hsa-mir-448	0
hsa-mir-4480	0
hsa-mir-4481	0
hsa-mir-4482	0
hsa-mir-4483	0
hsa-mir-4484	0
hsa-mir-4485	0
hsa-mir-4486	0
hsa-mir-4487	0
hsa-mir-4488	0
hsa-mir-4489	0
hsa-mir-4490	0
hsa-mir-4491	0.479797592
hsa-mir-4492	0.839231609
hsa-mir-4493	0
hsa-mir-4494	0
hsa-mir-4495	0
hsa-mir-4496	0
hsa-mir-4497	0
hsa-mir-4498	0
hsa-mir-4499	0
hsa-mir-449a	0
hsa-mir-449b	0
hsa-mir-449c	0
hsa-mir-4500	0
hsa-mir-4501	0
hsa-mir-4502	0
hsa-mir-4503	0
hsa-mir-4504	0
hsa-mir-4505	0
hsa-mir-4506	0
hsa-mir-4507	0
hsa-mir-4508	0
hsa-mir-4509-1	0
hsa-mir-4509-2	0
hsa-mir-4509-3	0
hsa-mir-450a-1	0.839231609
hsa-mir-450a-2	0.839231609
hsa-mir-450b	2.946229479
hsa-mir-4510	0
hsa-mir-4511	0
hsa-mir-4512	0
hsa-mir-4513	0
hsa-mir-4514	0
hsa-mir-4515	0
hsa-mir-4516	0
hsa-mir-4517	0
hsa-mir-4518	0
hsa-mir-4519	0
hsa-mir-451a	6.678056548
hsa-mir-451b	0
hsa-mir-452	4.647743109
hsa-mir-4520-1	0
hsa-mir-4520-2	0
hsa-mir-4521	0.839231609
hsa-mir-4522	0
hsa-mir-4523	0
hsa-mir-4524a	0
hsa-mir-4524b	0
hsa-mir-4525	0
hsa-mir-4526	0
hsa-mir-4527	0
hsa-mir-4528	0
hsa-mir-4529	0.479797592
hsa-mir-4530	0
hsa-mir-4531	0
hsa-mir-4532	0
hsa-mir-4533	0
hsa-mir-4534	0
hsa-mir-4535	0
hsa-mir-4536-1	0
hsa-mir-4536-2	0
hsa-mir-4537	0
hsa-mir-4538	0
hsa-mir-4539	0
hsa-mir-454	1.571793774
